sampleid	SampleName	spots_with_mates	category
SRR8445618	C166_06_Day42_10820	38669	diseased
SRR8445630	C166_08_Day0_10809	1698	diseased
SRR8445596	C166_09_Day42_10830	49266	diseased
SRR8445597	C166_09_Day56_10831	57584	diseased
SRR8445598	C166_10_Day0_10832	13556	diseased
SRR8445655	C166_10_Day28_10845	35628	diseased
SRR8445615	C166_11_Day0_10810	713	diseased
SRR8445617	C166_11_Day14_10813	1983	diseased
SRR8445647	C166_11_Day35_10853	65102	diseased
SRR8445644	C166_11_Day42_10857	51500	diseased
SRR8445642	C166_12_Day14_10848	33095	diseased
SRR8445643	C166_12_Day28_10849	42198	diseased
SRR8445628	C166_12_Day42_10695	86722	diseased
SRR8445631	C166_13_Day0_10850	95337	diseased
SRR8445599	C166_13_Day14_10851	34705	diseased
SRR8445646	C166_13_Day28_10852	31768	diseased
SRR8445645	C166_18_Day0_10885	54930	diseased
SRR8445651	C166_22_Day28_11734	524	diseased
SRR8445635	C166_22_Day28_12750	49370	diseased
SRR8445650	C166_22_Day42_11735	118	diseased
SRR8445604	C166_23_Day14_11709	4276	diseased
SRR8445609	C166_23_Day28_11718	149	diseased
SRR8445608	C166_23_Day42_11719	209	diseased
SRR8445620	C166_24_Day0_11728	190	diseased
SRR8445621	C166_24_Day14_11729	215	diseased
SRR8445634	C166_24_Day28_12751	180227	diseased
SRR8445654	C166_24_Day42_11731	171	diseased
SRR8445624	C166_25_Day0_11724	183	diseased
SRR8445625	C166_25_Day14_11725	227	diseased
SRR8445622	C166_25_Day28_11726	238	diseased
SRR8445623	C166_25_Day42_11727	195	diseased
SRR8445653	C166_26_Day0_11740	49258	diseased
SRR8445652	C166_26_Day14_11741	113795	diseased
SRR8445649	C166_26_Day28_11742	96519	diseased
SRR8445648	C166_26_Day42_11743	102853	diseased
SRR8445633	C166_27_Day0_12752	119316	diseased
SRR8445626	C166_27_Day28_11722	282	diseased
SRR8445627	C166_27_Day42_11723	65524	diseased
SRR8445636	C166_30_Day0_12652	210885	diseased
SRR8445603	C166_32_Day42_11702	17043	diseased
SRR8445602	C166_33_Day0_11703	8246	diseased
SRR8445601	C166_33_Day14_11704	255	diseased
SRR8445600	C166_33_Day42_11705	186	diseased
SRR8445607	C166_34_Day0_11706	8523	diseased
SRR8445606	C166_34_Day14_11707	1345	diseased
SRR8445605	C166_34_Day42_11708	222	diseased
SRR8445641	C166_35_Day14_12645	21569	diseased
SRR8445640	C166_35_Day42_12646	149626	diseased
SRR8445639	C166_36_Day0_12647	157176	diseased
SRR8445638	C166_36_Day14_12648	124684	diseased
SRR8445637	C166_36_Day42_12649	31015	diseased
SRR8445682	C166_01_Day28_10806	1393	diseased
SRR8445671	C166_01_Day28_12227	46480	diseased
SRR8445681	C166_01_Day42_10807	3083	diseased
SRR8445680	C166_03_Day14_10808	103534	diseased
SRR8445658	C166_18_Day42_10891	49993	diseased
SRR8445659	C166_20_Day0_10892	55433	diseased
SRR8445656	C166_25_Day28_12225	81830	diseased
SRR8445657	C166_25_Day42_12226	85859	diseased
SRR8445673	C166_39_Day0_12230	74437	diseased
SRR8445677	C166_39_Day14_12234	67696	diseased
SRR8445670	C166_39_Day28_12229	85663	diseased
SRR8445675	C166_39_Day42_12232	95512	diseased
SRR8445672	C166_40_Day0_12231	62349	diseased
SRR8445676	C166_40_Day14_12235	41969	diseased
SRR8445674	C166_40_Day28_12233	21091	diseased
SRR8445679	C166_40_Day42_12237	62320	diseased
SRR8445629	C166_18_Day0_10656	89195	diseased
